galaxy,file,M_b,R_scale,s_rho,s_r,rho0_qfst,r_core_qfst,chi2_qfst,chi2red_qfst,rho_s_nfw,r_s_nfw,chi2_nfw,chi2red_nfw,N_points,plot
NGC1705,NGC1705_rotmod.dat,812881992.4895949,1.11,9.999999999999776,0.2718246917908775,67561302.98525271,1.5955179049547352,36.253396668719745,3.0211163890599786,78594858.99661061,2.1760614777824845,0.8988165135828105,0.07490137613190087,14,qfst_hybrid_plots\NGC1705_hybrid_compare.png
NGC2366,NGC2366_rotmod.dat,1217587883.9808106,2.97,1.8405797973279454,0.43612474942222207,12831376.397779085,2.5599030092247674,37.32220964191335,1.5550920684130565,69774.17007057798,199.99999999999272,82.38110457060753,3.432546023775314,26,qfst_hybrid_plots\NGC2366_hybrid_compare.png
NGC2403,NGC2403_rotmod.dat,17967944378.839012,3.59,1.0363340468335105,1.3298785247249234,8903453.710756829,7.805931770340549,104.75261953802685,1.4753890075778429,152707.3567491343,199.99999999999997,241.652653095867,3.403558494307986,73,qfst_hybrid_plots\NGC2403_hybrid_compare.png
NGC2683,NGC2683_rotmod.dat,83880528717.29773,5.77,0.7058992673421376,1.1269555568720926,6835075.60572497,6.614843402309501,27.421798559688405,3.046866506632045,84597.40273555541,199.99999999948307,29.099687275497715,3.2332985861664127,11,qfst_hybrid_plots\NGC2683_hybrid_compare.png
NGC2841,NGC2841_rotmod.dat,260390267389.29883,7.18,2.887201235579074,1.1331812094905214,30525649.857251417,6.651385852361752,12.461886200931232,0.2596226291860673,2276953.2629461554,49.96170910290422,7.756404098568966,0.16159175205352014,50,qfst_hybrid_plots\NGC2841_hybrid_compare.png
NGC2903,NGC2903_rotmod.dat,88498130892.15483,2.56,0.3109370363009929,3.138335743173808,3023288.151698785,18.420956672492178,1367.904390559211,42.74701220497534,111827.58913039869,199.99999999999997,1430.5947879328667,44.70608712290208,34,qfst_hybrid_plots\NGC2903_hybrid_compare.png
NGC2915,NGC2915_rotmod.dat,1574697493.2960918,2.67,6.870111389471812,0.3249728012099643,48859893.93832279,1.9074791165502254,36.676142203805064,1.3098622215644666,12509563.210516356,6.814334667358164,38.96637066125724,1.3916560950449013,30,qfst_hybrid_plots\NGC2915_hybrid_compare.png
NGC2955,NGC2955_rotmod.dat,377596677275.6131,8.42,0.4449295328463169,0.29057730183065544,4841808.1529411515,1.7055893075414108,300.40891934046607,13.654950879112095,0.03904234094079584,0.05000001065703412,294.0586660046072,13.366303000209417,24,qfst_hybrid_plots\NGC2955_hybrid_compare.png
NGC2976,NGC2976_rotmod.dat,3333981145.579916,1.42,0.48254298012658686,0.9827588064392914,3637570.3486662637,5.768457830652685,32.82910948991037,1.313164379596415,0.0034141551495849853,0.05000000006855521,28.089902523189206,1.1235961009275683,27,qfst_hybrid_plots\NGC2976_hybrid_compare.png
NGC2998,NGC2998_rotmod.dat,207160693758.81863,12.5,0.5648140629153064,1.5475221266054422,5866568.356282179,9.08342522176846,25.96350869177143,2.360318971979221,113414.38832139294,199.99999999999955,22.048531070690366,2.004411915517306,13,qfst_hybrid_plots\NGC2998_hybrid_compare.png
NGC3109,NGC3109_rotmod.dat,803847274.4142871,3.61,2.3572062889940426,0.5672372361508853,15911782.477625282,3.3294884312130875,4.967028804691924,0.21595777411704017,108267.39569351617,199.99999999999997,80.29394023453594,3.491040879762432,25,qfst_hybrid_plots\NGC3109_hybrid_compare.png
NGC3198,NGC3198_rotmod.dat,62384725618.71359,6.74,0.4866349239085741,1.6770817243855882,4604929.488742447,9.843895717127182,34.79816574381441,0.8487357498491319,98563.4351017547,199.99999999999997,59.95275755930109,1.4622623794951486,43,qfst_hybrid_plots\NGC3198_hybrid_compare.png
NGC3521,NGC3521_rotmod.dat,96947963311.66878,2.92,0.315681995505317,3.1765446475967662,3091228.3951501725,18.645229863915294,802.2167022415398,20.569659031834355,0.0002994175397361687,0.050000000000576375,818.3544411963019,20.983447210161586,41,qfst_hybrid_plots\NGC3521_hybrid_compare.png
NGC3726,NGC3726_rotmod.dat,86409146976.4228,6.98,0.14693046094427897,3.3299612221110975,1425980.696848537,19.545732647315194,140.7062665128777,14.070626651287771,6.797075912239961,0.05000419303469514,179.18625254927315,17.918625254927314,12,qfst_hybrid_plots\NGC3726_hybrid_compare.png
